Row_ID,Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Average_Yield_(MT/Ha),Hybrid_Seeds_Production_(MT),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Average_Yield(MT/Ha),Certified_Seeds_Production(MT),Total_Area_Harvested(Ha),TotalAverage_Yield(MT/Ha),Total_Production(MT)
159,11/1/2022,6/28/2022,Alicia,Dry,Irrigated,1880.388856,5.638042353,10601.71201,3060.69473,7.926623947,24260.97614,4941.083586,7.055676664,34862.68815
160,9/1/2022,1/28/2022,Alicia,Dry,Rainfed,3229.221476,7.581896054,24483.62156,3140.278876,5.553388614,17439.18895,6369.500351,6.581805197,41922.81052
161,7/1/2023,1/28/2023,SanMateo,Wet,Irrigated,2239.747705,6.191954346,13868.41554,2707.155621,7.399346066,20031.1813,4946.903326,6.85269038,33899.59683
162,1/1/2023,8/28/2023,SanMateo,Wet,Rainfed,3349.814417,5.882134038,19704.0574,3856.236799,6.58294319,25385.38778,7206.051216,6.257164129,45089.44518
163,6/1/2023,12/28/2023,Alicia,Wet,Irrigated,2924.351794,6.491035846,18982.07232,4061.425124,5.308944438,21561.88032,6985.776918,5.803785766,40543.95264
164,8/1/2023,7/28/2023,Alicia,Wet,Rainfed,4784.461849,6.119927949,29280.56179,2082.978693,6.93199863,14439.20544,6867.440541,6.366238917,43719.76723
165,12/1/2023,1/28/2023,SanMateo,Dry,Irrigated,1101.545423,5.468457792,6023.75465,3863.888915,6.976771826,26957.47132,4965.434338,6.642163349,32981.22597
166,1/1/2023,9/28/2023,SanMateo,Dry,Rainfed,1887.888648,5.69322439,10748.17369,3687.570974,5.059131613,18655.90689,5575.459622,5.273839751,29404.08059
167,6/1/2023,9/28/2023,Alicia,Dry,Irrigated,4199.664341,5.535633986,23247.80466,3610.984431,5.714548343,20635.1451,7810.648773,5.618348877,43882.94976
168,2/1/2023,3/28/2023,Alicia,Dry,Rainfed,1972.688764,7.166800796,14137.8674,4422.785872,7.490659594,33129.58343,6395.474636,7.390765114,47267.45083
