Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Production_(MT),Hybrid_Seeds_Average_Yield_(MT/Ha),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Production(MT),Certified_Seeds_Average_Yield(MT/Ha),Farmer_Seeds_Area_Harvested_(Ha),Farmer_Seeds_Production_(MT),Farmer_Seeds_Average_Yield_(MT/Ha),Total_Area_Harvested(Ha),Total_Production(MT),TotalAverage_Yield(MT/Ha)
5/1/2017,10/27/2017,SanMateo,Wet,Rainfed,4503.04,30662.2,5.46,3181.14,38773.9,3.14,318.53,393.24,1.23,4596.22,25280.56,5.5
4/27/2018,10/26/2018,SanMateo,Dry,Irrigated,4677.68,31967.26,6.83,3675.32,25117.14,6.83,1295.41,2636.73,2.35,8353,57084.4,6.83
4/27/2018,10/26/2018,SanMateo,Wet,Irrigated,4761.21,23710.83,4.98,3591.79,17887.11,4.98,1295.41,2636.73,2.35,8353,41597.94,4.98
5/1/2018,10/27/2018,Alicia,Dry,Irrigated,7338.17,44437.75,6.74,5084.86,31449.44,5.37,1723.87,3678.04,2.13,7589.84,16063.68,2.12
5/1/2018,10/27/2018,Alicia,Dry,Rainfed,4109.65,23073.38,6.39,4203.62,17957.9,4.74,2792.42,8253.71,2.96,7215.76,8574.13,1.19
5/1/2018,10/27/2018,Alicia,Wet,Irrigated,3887,24052.47,7.14,5946.15,28155.54,5.64,1860.38,4239.85,2.28,3052.53,39868.35,13.06
5/1/2018,10/27/2018,Alicia,Wet,Rainfed,6504.16,38152.08,7.29,4572.92,26133.35,5.77,167.44,249.07,1.49,6184.4,23142.49,3.74
5/1/2018,10/27/2018,SanMateo,Dry,Irrigated,5884.13,33884.63,6.84,3286.15,26118.05,5.3,2875.73,6790.14,2.36,7004.91,40355.97,5.76
5/1/2018,10/27/2018,SanMateo,Dry,Rainfed,3929.89,43660.32,3.5,5972.13,18390.64,4.86,2383.27,2820.57,1.18,5145.04,15726.38,3.06
5/1/2018,10/27/2018,SanMateo,Wet,Irrigated,6156.79,22430.17,5.44,5088.87,15640.63,4.44,1346.72,1623.93,1.21,6514.53,41463.59,6.36
5/1/2018,10/27/2018,SanMateo,Wet,Rainfed,7831.65,36920.82,6.2,3334.88,22727.09,3.44,2838.5,6198.55,2.18,5922.41,15949.49,2.69
2/26/2019,7/26/2019,Alicia,Dry,Irrigated,3,21.6,7.2,36,234,6.5,43,193.5,4.5,82,449.1,6.07
3/15/2019,8/15/2019,Alicia,Dry,Irrigated,3877,32566.8,8.4,3548,23062,6.5,587,2935,5,8012,58563.8,6.63
4/15/2019,9/15/2019,Alicia,Dry,Irrigated,4279,32092.5,7.5,5108,31925,6.25,759.73,3988.58,5.25,10146.73,68006.08,6.33
4/27/2019,10/26/2019,SanMateo,Dry,Irrigated,4677.68,37935.98,8.11,3675.32,29806.85,8.11,1295.41,2636.73,2.35,8353,67742.83,8.11
4/27/2019,10/26/2019,SanMateo,Wet,Irrigated,4761.21,30538.4,6.41,3591.79,23037.74,6.41,1295.41,2636.73,2.35,8353,53576.14,6.41
5/1/2019,10/27/2019,Alicia,Dry,Irrigated,4908.65,54346.51,3.31,4264.45,35824.18,5.89,1947.01,3586.32,1.84,5961.16,17957.4,3.01
5/1/2019,10/27/2019,Alicia,Dry,Rainfed,5201.56,27295.65,6.33,5054.37,29984.94,5.26,2564.92,4954.41,1.93,4946.9,9673.48,1.96
5/1/2019,10/27/2019,Alicia,Wet,Irrigated,5513.4,43534.63,6.88,5950.24,32905.35,3.59,273.32,606.9,2.22,7279.32,32626.89,4.48
5/1/2019,10/27/2019,Alicia,Wet,Rainfed,6026.67,49385.36,7.34,3492.34,19615.94,5.31,2311.27,5838.22,2.53,5841,24217.58,4.15
5/1/2019,10/27/2019,SanMateo,Dry,Irrigated,3951.46,55654.22,5.67,5511.88,33416.46,4.1,247.31,460.77,1.86,6476.43,42062.85,6.49
5/1/2019,10/27/2019,SanMateo,Dry,Rainfed,6735.34,59795.52,3.06,4593.51,34605.8,4.11,1608.86,4473.02,2.78,3821.96,10852.67,2.84
5/1/2019,10/27/2019,SanMateo,Wet,Irrigated,7549.17,45413.59,3.54,5489.08,39644.47,4.27,1792.08,3010.95,1.68,4724.58,57272.12,12.12
5/1/2019,10/27/2019,SanMateo,Wet,Rainfed,6279.97,33532.39,6.79,5110.53,20874.46,5.05,2050.68,3991.99,1.95,7197.95,15192.02,2.11
10/14/2019,3/14/2019,Alicia,Wet,Irrigated,856,5992,7,6018,36108,6,486,2551.5,5.25,7360,44651.5,6.08
10/27/2019,3/27/2019,Alicia,Wet,Irrigated,1341,10057,7.5,7992,51148.8,6.4,813,3902.4,4.8,10146,65108.2,6.23
4/26/2020,10/25/2020,SanMateo,Dry,Irrigated,4677.68,35035.82,7.49,3675.32,27528.15,7.49,1295.41,2636.73,2.35,8353,62563.97,7.49
4/26/2020,10/25/2020,SanMateo,Wet,Irrigated,4761.21,20758.88,4.36,3591.79,15660.2,4.36,1295.41,2636.73,2.35,8353,36419.08,4.36
4/27/2020,9/27/2020,Alicia,Dry,Irrigated,1930,13896,7.2,7433,48314.5,6.5,783,3366.9,4.3,10146,65577.4,6
5/1/2020,10/27/2020,Alicia,Dry,Irrigated,4588.72,51543.48,4.51,5464.6,27655.57,3.93,2313.38,6075.97,2.63,7642.54,16647.3,2.18
5/1/2020,10/27/2020,Alicia,Dry,Rainfed,7748.98,23377.02,6.69,5403.87,19965.57,5.95,103.82,238.53,2.3,7504.45,15517.95,2.07
5/1/2020,10/27/2020,Alicia,Wet,Irrigated,4159.26,59787.5,6.28,3940.37,33488.83,3.57,1197.41,2806.36,2.34,4313.92,43032.8,9.98
5/1/2020,10/27/2020,Alicia,Wet,Rainfed,6107.54,34719.35,6.42,5972.91,27031.8,3.92,308.64,502.93,1.63,3334.23,13415.66,4.02
5/1/2020,10/27/2020,SanMateo,Dry,Irrigated,3134.12,21799.33,3.81,3670.21,15650.88,3.05,1709.28,2488.06,1.46,7332.6,31412.96,4.28
5/1/2020,10/27/2020,SanMateo,Dry,Rainfed,3845.47,40446.53,6.5,3444.2,30342.39,4.6,392.09,868.63,2.22,7664.85,15605.59,2.04
5/1/2020,10/27/2020,SanMateo,Wet,Irrigated,4727.5,41009.34,6.5,3367.93,18994.13,3.82,657.73,1822.5,2.77,3756.46,20191.56,5.38
5/1/2020,10/27/2020,SanMateo,Wet,Rainfed,5918.73,30240.12,4.23,4086.53,15900.95,4.75,1627.84,2987.45,1.84,5279.31,17250.5,3.27
9/15/2020,2/15/2020,Alicia,Wet,Irrigated,13,88.4,6.8,643,3279.3,5.1,58,278.4,4.75,714,3646.1,5.55
9/27/2020,2/27/2020,Alicia,Wet,Irrigated,686,5007.8,7.3,3854,23509.4,6.1,196,960.4,4.9,4736,29477.6,6.1
10/15/2020,3/15/2020,Alicia,Wet,Irrigated,936,7113.6,7.6,2499,15743.7,6.3,1038,4878.6,4.7,4473,27735.9,6.2
10/27/2020,3/27/2020,Alicia,Wet,Irrigated,4159.26,59787.5,6.28,520,2860,5.5,100,430,4.3,620,3290,3.27
3/15/2021,8/15/2021,Alicia,Dry,Irrigated,690,4968,7.2,1103,5515,5,298,1192,4,2091,11675,5.4
4/15/2021,9/15/2021,Alicia,Dry,Irrigated,760,5548,7.3,1050,5775,5.5,218,926.5,4.25,2028,12249.5,5.68
4/26/2021,10/25/2021,SanMateo,Dry,Irrigated,4677.68,29469.38,6.3,3675.32,23154.52,6.3,1295.41,2636.73,2.35,8353,52623.9,6.3
4/26/2021,10/25/2021,SanMateo,Wet,Irrigated,4761.21,28567.26,6,3591.79,21550.74,6,1295.41,2636.73,2.35,8353,50118,6
5/1/2021,10/27/2021,Alicia,Dry,Irrigated,6720.91,33591.33,6.55,3300.55,23029.07,4.06,1360.83,1530.62,1.12,3276.24,16167.69,4.93
5/1/2021,10/27/2021,Alicia,Dry,Rainfed,6447.51,28795.58,6.28,3601.62,32824.48,5.51,372.76,1078.29,2.89,5507.32,20139.45,3.66
5/1/2021,10/27/2021,Alicia,Wet,Irrigated,7831.23,49155.92,7.22,5537.21,18600.98,4.41,2582.34,6796.82,2.63,4463.12,46290.34,10.37
5/1/2021,10/27/2021,Alicia,Wet,Rainfed,3433.75,43034.84,4.38,3376.35,29373.87,3.85,299.63,826.94,2.76,5016.41,15882.55,3.17
5/1/2021,10/27/2021,SanMateo,Dry,Irrigated,3605.44,33505.5,6.15,5443.72,22739.82,3.15,1767.98,1792.87,1.01,6331.95,31080.15,4.91
5/1/2021,10/27/2021,SanMateo,Dry,Rainfed,4454.73,50770.48,6.19,4269.76,32228.78,3.28,2573.81,6314.33,2.45,3870.73,19086.4,4.93
5/1/2021,10/27/2021,SanMateo,Wet,Irrigated,5220.73,41510.27,4.49,3388.88,26835.96,5.11,1578.32,3651.61,2.31,6718.26,42084.87,6.26
5/1/2021,10/27/2021,SanMateo,Wet,Rainfed,3228.69,33845.97,6.53,5676.52,35952.78,3.75,964.75,2401.37,2.49,5487.3,17176.7,3.13
3/15/2022,8/15/2022,Alicia,Dry,Irrigated,4280,29960,7,2188,12690.4,5.8,300,1305,4.35,6768,43955.4,5.72
3/27/2022,8/27/2022,Alicia,Dry,Irrigated,1102,7163,6.5,236,1368.8,5.8,200,870,4.35,1538,9401.8,5.55
4/26/2022,10/25/2022,SanMateo,Dry,Irrigated,4677.68,28676.78,6.13,3675.32,22531.75,6.13,1295.41,2636.73,2.35,8353,51208.53,6.13
4/26/2022,10/25/2022,SanMateo,Wet,Irrigated,4761.21,33611.56,7.06,3591.79,25356.09,7.06,1295.41,2636.73,2.35,8353,58967.65,7.06
5/1/2022,10/27/2022,Alicia,Dry,Irrigated,6112.72,57940.26,4.65,4058.25,37841.88,3.52,2535.6,6285.55,2.48,3498.24,20754.09,5.93
5/1/2022,10/27/2022,Alicia,Dry,Rainfed,4429.27,39162.8,3.01,5198.22,20283.82,5.01,709.68,1183.2,1.67,7114.11,23759.03,3.34
5/1/2022,10/27/2022,Alicia,Wet,Irrigated,6131.3,56194.17,7.14,3403.57,16438.55,3.51,801.37,2242.52,2.8,7515.17,24672.87,3.28
5/1/2022,10/27/2022,Alicia,Wet,Rainfed,3361.74,58845.91,7.11,5192.13,18700.23,4.38,1948.07,2264.92,1.16,6965.69,11200.08,1.61
5/1/2022,10/27/2022,SanMateo,Dry,Irrigated,5868.86,30201.72,3.59,5483.58,36873.25,5.6,1609.64,3825.16,2.38,4076.7,46199.48,11.33
5/1/2022,10/27/2022,SanMateo,Dry,Rainfed,7384.12,48996.83,3.85,4504.97,35957.96,5.13,1953.86,4296.33,2.2,6338.61,18889.64,2.98
5/1/2022,10/27/2022,SanMateo,Wet,Irrigated,7641.37,53670.39,5.51,5900.9,35664,4.93,2678.06,3436.77,1.28,6418.35,46927.13,7.31
5/1/2022,10/27/2022,SanMateo,Wet,Rainfed,3016.45,47595.92,5.63,3332.49,15625.28,5.15,1612.56,2976.94,1.85,6508.44,13165.11,2.02
8/27/2022,1/27/2022,Alicia,Wet,Irrigated,25,175,7,170,1105,6.5,82,328,4,277,1608,5.83
9/15/2022,2/15/2022,Alicia,Wet,Irrigated,3066,21707.28,7.08,1502.9,8641.68,5.75,960,4454.4,4.64,5528.9,34803.36,5.82
9/27/2022,2/28/2022,Alicia,Wet,Irrigated,2100,16065,7.65,1293,7564.05,5.85,129,619.2,4.8,3522,24248.25,6.1
10/15/2022,3/15/2022,Alicia,Wet,Irrigated,5450,39894,7.32,3328,19468.8,5.85,1368.5,6568.8,4.8,10146.5,65931.6,5.99
2/28/2023,8/28/2023,Alicia,Dry,Irrigated,295.15,1571.68,5.33,3.5,23.21,6.63,1295.41,2636.73,2.35,298.65,1594.88,3.99
3/15/2023,8/15/2023,Alicia,Dry,Irrigated,2971.17,21600.42,7.27,427.34,2452.93,5.74,47,211.5,4.5,3445.51,24264.86,5.84
3/27/2023,8/27/2023,Alicia,Dry,Irrigated,2950.95,21453.44,7.27,1971.92,11535.73,5.85,393.35,1695.34,4.31,5316.22,34684.51,5.81
4/15/2023,9/15/2023,Alicia,Dry,Irrigated,701.41,5169.39,7.37,287.94,1707.48,5.93,81.15,265.36,3.27,1070.5,7142.24,5.52
4/26/2023,10/25/2023,SanMateo,Dry,Irrigated,4677.68,31425.8,6.72,3675.32,24691.7,6.72,1295.41,2636.73,2.35,8353,56117.5,6.72
4/26/2023,10/25/2023,SanMateo,Wet,Irrigated,4761.21,32601.2,6.85,3591.79,24593.89,6.85,1295.41,2636.73,2.35,8353,57195.09,6.85
5/1/2023,10/27/2023,Alicia,Dry,Irrigated,7656.53,46988.46,7.68,5976.35,36219,4.41,1280.98,2516.07,1.96,6394.06,40310.77,6.3
5/1/2023,10/27/2023,Alicia,Dry,Rainfed,3944.9,21525.06,6.86,5456.58,33312.79,5.57,224.4,281.22,1.25,5524.85,13411.84,2.43
5/1/2023,10/27/2023,Alicia,Wet,Irrigated,7743.22,55573.38,4.07,4211.29,39016.46,5.63,1099.21,1769.35,1.61,5931.01,55506.26,9.36
5/1/2023,10/27/2023,Alicia,Wet,Rainfed,6997.36,55398.63,7.13,5056.93,38916.99,3.77,1008.78,1100.53,1.09,5315.48,13832.84,2.6
5/1/2023,10/27/2023,SanMateo,Dry,Irrigated,3392.23,56771.11,3.38,5034.94,22363.44,4.07,1343.1,1716.31,1.28,5023.69,46907.73,9.34
5/1/2023,10/27/2023,SanMateo,Dry,Rainfed,3500.43,27267.27,7.07,3246.59,15942.71,5.29,807.86,1018.45,1.26,4333.55,11704.08,2.7
5/1/2023,10/27/2023,SanMateo,Wet,Irrigated,5176.64,37119.29,5.05,5407.18,29527.12,4.68,1955.29,3306.44,1.69,6495.71,26746.72,4.12
5/1/2023,10/27/2023,SanMateo,Wet,Rainfed,6678.41,42486.57,3.24,3604.96,24891.51,5.16,270.53,600.93,2.22,7076.46,15255.87,2.16
8/27/2023,1/27/2023,Alicia,Wet,Irrigated,850.5,5953.5,7,300.35,1802.1,6,20,100,5,1170.85,7855.6,6
9/15/2023,2/15/2023,Alicia,Wet,Irrigated,2295.35,15493.61,6.75,2092.45,11508.48,5.5,198.6,943.35,4.75,4586.4,27945.44,5.67
9/27/2023,9/27/2023,Alicia,Wet,Irrigated,2268.52,17013.9,7.5,1808,10848,6,211.6,1110.9,5.25,4288.12,28972.8,6.25
10/15/2023,3/15/2023,Alicia,Wet,Irrigated,835,6471.25,7.75,295.45,1994.29,6.75,82.33,411.65,5,1212.78,8877.19,6.5
2/29/2024,7/29/2024,Alicia,Dry,Irrigated,1283.25,9624.38,7.5,755.55,4911.08,6.5,99.06,569.6,5.75,2137.86,15105.05,6.58
3/15/2024,8/15/2024,Alicia,Dry,Irrigated,2302.54,16693.42,7.25,1055.56,6597.25,6.25,135.14,675.7,5,3493.24,23966.37,6.17
3/27/2024,8/27/2024,Alicia,Dry,Irrigated,2109.08,16345.37,7.75,1100.56,7153.64,6.5,228.03,1083.14,4.75,3437.67,24582.15,6.33
4/15/2024,9/15/2024,Alicia,Dry,Irrigated,705.13,5605.78,7.95,288.33,1946.23,6.75,87.3,458.33,5.25,1080.76,8010.34,6.65
5/1/2024,10/27/2024,SanMateo,Wet,Irrigated,915.25,6957.7,7.6,885.66,5416.07,6.12,1295.41,2636.73,2.35,1800.91,12373.77,6.87
5/1/2024,10/27/2024,Alicia,Dry,Irrigated,3736.53,40237.04,6.38,4840.62,17329.82,4.73,1674.81,2069.18,1.24,3120.46,25949.47,8.32
5/1/2024,10/27/2024,Alicia,Dry,Rainfed,3923.87,46474.27,7.74,4049.84,22623.16,3.7,2378.28,3928.53,1.65,6664.69,16906.82,2.54
5/1/2024,10/27/2024,Alicia,Wet,Irrigated,4110.67,48157.09,6.62,5437.57,36468.11,4.54,1714.71,3650.05,2.13,7992.89,26191.87,3.28
5/1/2024,10/27/2024,Alicia,Wet,Rainfed,6779.85,50032.17,4.06,3320.78,15943.59,5,568.34,963.15,1.69,5518.46,16406.06,2.97
5/1/2024,10/27/2024,SanMateo,Dry,Irrigated,6729.08,57620.25,4.86,3248.6,35825.88,4,2663.09,3810.52,1.43,3780.31,43288.99,11.45
5/1/2024,10/27/2024,SanMateo,Dry,Rainfed,7860.18,22823.63,6.98,4463.3,31200.76,4.76,2001.37,5836.98,2.92,7620.28,18737.38,2.46
5/1/2024,10/27/2024,SanMateo,Wet,Irrigated,5804.39,39596.53,4.73,3099.02,21426.1,4.58,1418.61,3725.82,2.63,6271.31,22625.6,3.61
5/1/2024,10/27/2024,SanMateo,Wet,Rainfed,6248.7,29587.57,6.53,5156.06,18994.03,5.55,263.85,438.02,1.66,6558.63,28227.88,4.3
